ID,Name,Distance (metres),Grade (%),KOM (seconds),QOM (seconds),Athletes,Category,Bearing
22144150,Dalbyvägen upp till Möllan,372.79998779296875,2.1,,,,0,
25891283,Kronetorps allé norrut,340.70001220703125,0.3,,,,0,
23895867,Spillepengs Red,4418.2,-0.1,963,1728,24,0,SE
22450454,Spillepeng blå motionsspår,1368.0999755859375,0,,,,0,
29939927,Till toppen,650.5,2.1,,,,0,
25582856,Kronetorp cykelväg,278.20001220703125,0.9,,,,0,
3542599,Lommabukten,1516.199951171875,0.5,,,,0,
30952202,Från utegymmet,316.5,0.9,,,,0,
9633950,Trelleborgsvägsspurten,516.4000244140625,0.1,,,,0,
15667265,Lundavägsrakan Norr,363.29998779296875,0.3,,,,0,
13410036,Norrevångsvägen,1774.0999755859375,0.1,,,,0,
25571040,åkarps åker runda ,4692.5,0,,,,0,
9537830,mossen 800m ost,814.7000122070312,0,155,,97,0,
9537864,mossen 800m väst,811.7999877929688,-0.1,,,,0,
8318079,Motorvägen-alnarpsparken,968.0999755859375,0.9,,,,0,
8318097,Alnarpsparken-motorvägen,930.7999877929688,-0.8,,,,0,
7564535,Alnarpskilometern österut,1105.2,-0.4,230,,113,0,
3542663,Lomma beach,1297.3299560546875,-0.699999988079071,,,274,0,NE
12720178,Uppåkra hill dash,998.8,1.1,220,,83,0,
27037230,Stora eket,750.5,0,,,,0,
13492852,Alnarp reflexen,2390.10009765625,0,658,,11,0,SW
22901685,Uppåkra 400m sprintbacke,403.8,2.1,,,,0,
15938341,Lomma Strandhusen,1041.6,0.1,,,,0,
25329993,Get down to business ,908.5,-3.6,,,,0,
4125370,Riser,1204.800048828125,3.0999999046325684,,,7,0,N
6367044,Knivsåsen Norrut Skåneleden,1379.5,-1.5,384,,250,0,
26389408,Pinnmöllan uppåt,298.7,2.4,,,,0,
3311334,Villaområde Center,2725.5400390625,-0.10000000149011612,,,0,0,E
10860360,Mot Veberödsvägen climb,719.8,4.6,181,,231,0,
4164120,Hjärup-Åkarp,1893,-0.20000000298023224,,,14,0,SW
26514732,Cykelbanan Båtgatorna,705.8,-0.8,,,,0,
18588891,Sexespurten,415.7,2.6,,,,0,
24402253,Lap Lomma IP,388.1,0,,,,0,
27845513,Stallvägen,419,0.5,,,,0,
23293183,Upp för hästspåret 1,355,5.3,,,,0,
15044704,G:a Trelleborgsvägen till kyrkan söderut,272,1.7,,,,0,
18588913,Sidfläskvägen,589.3,-0.6,105,,29,0,
27845556,Promenad till parken,565.3,-0.4,100,141,72,0,SW
15084927,Nya Hjärup reverse,883.5,0.2,167,192,118,0,W
24835903,Hjärupsparken delsträcka,456.1,0.6,,,,0,
25330014,Tough it up,862,2.4,182,451,36,0,W
22598107,Hjärups park,1411,0,329,508,19,0,SW
30810574,Banvallsvägen norrut,1084.8,0.8,,,,0,
21431792,Hjallemilen 2019 ett varv,5029.7,0,1133,1340,26,0,S
22741816,Karstorpsvägen uphill,1019.6,0.9,,,,0,
18546768,Hjärups löparbana 380m,384.6,0,67,102,38,0,NE
23005387,Rökepipan climb,161.3,12.9,,,,0,
10380249,G. Lundav. at Hjärup south,1235.8,-0.2,,,,0,
21938259,Lilla Bjällerupsvägen,2538.89990234375,0.4000000059604645,659,,40,0,
23293203,Upp för häststpåret 2,384.1,2.8,,,,0,
23222243,Motsols,441.8,0.6,,,,0,
16637972,Väståkravägen Hjärup west,885,0,183,207,250,0,NW
28359228,Åttevägen,451.4,-1.2,,,,0,
14012676,Nya Hjärup,899.7,-0.5,,,,0,
13230199,SL Upp på ryggen,784,-0.9,183,262,807,0,N
30338761,Korta rundan,2587.7,0,675,682,12,0,SW
30338709,Korta rundan,2587.7,0,,,,0,
17202931,G:a Lundav Bergströmshusen,950.4,0.4,,,,0,
23529125,"Dalby Fälad no5, norr",627.4,0.8,,,,0,
18580145,Skynda till stationen,288.7,-0.7,0,66,151,0,NW
22568870,Kroppekärrsrundan,2223.1,0,,,,0,
15462105,Norrevångsbacken,269.6000061035156,4.1,,,,0,
20780953,Sidfläskvägen reverse,563.6,0.5,,,,0,
10289741,1k THS banvall,1056,-1.5,173,,79,0,
36499627,Runt Corso,622.2,-0.2,,,,0,
24272431,Första 5k på 10k från Dalby,5004.9,-0.8,1000,1126,1703,0,NE
6237102,Raskt opp Skrylle,737.3,1.7,146,178,2294,0,N
6083844,Skryllemilen från Dalby,9576.1,0,2083,2657,476,0,NW
26752609,Cykelbanan Karlstorp 1km,1000.1,0.3,,,,0,
15044695,Väståkravägen Hjärup east,916.4,-0.1,,,,0,
30868892,Vinstorpsvägen - Prästbergavägen,1480.5,-0.2,,,,0,
22469151,Flygande kilometern Vinstrop,999.3,0.3,,,,0,
31089951,Höjeågatan - Centrumgatan,1109.2,0,,,,0,
5277945,Steroidspeed,1381.699951171875,-1.5,,,78,0,SW
22249884,Tennisbanebacken,275.1,6.5,,,,0,
10381027,Jakri - Vragerupsvägen,448,-0.6,,,,0,
10381051,Allévägen south,251.1,-0.3,,,,0,
26146943,Badet-Bokskogen (upp),330.8,1.4,,,,0,
6367020,Skrylle - Knivsåsen på Skåneleden,2971.199951171875,0.8,916,,22,0,
